Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_LeeSH02M.wav,30-300,127.329,0.468,0.548,0.409,0.528,0.618,0.461,-70,0.060
ASAP,RDB_SPPK,Schumann_Kreisleriana_1_ParkJH04M.wav,30-300,83.219,0.332,0.344,0.321,0.448,0.464,0.433,"-270, -280",0.116
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_KaiRuiR03.wav,30-300,104.585,0.039,0.038,0.040,0.968,0.948,0.989,"-1360, -1370, -1380, -1390, -1400",0.929
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_48-1_PrjevalskayaM02M.wav,30-300,70.865,0.450,0.634,0.349,0.558,0.785,0.432,-50,0.107
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_17-3_USHIKI05M.wav,30-300,277.411,0.505,0.863,0.357,0.560,0.956,0.396,-60,0.055
ASAP,RDB_SPPK,Bach_Fugue_bwv_875_CaoJ01M.wav,30-300,55.044,0.529,0.382,0.860,0.580,0.419,0.944,"530, 540",0.052
ASAP,RDB_SPPK,Bach_Prelude_bwv_885_SINKEV06.wav,30-300,30.991,0.028,0.019,0.060,0.392,0.257,0.821,"-1070, -1080, -1090, -1100, -1110, -1120, -1130, -1140, -1150",0.364
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_BuiJL02M.wav,30-300,138.525,0.534,0.643,0.457,0.643,0.774,0.549,-60,0.108
ASAP,RDB_SPPK,Schumann_Toccata_repeat_WangY07M.wav,30-300,113.519,0.265,0.372,0.206,0.353,0.496,0.274,800,0.088
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_Woo05M.wav,30-300,140.490,0.418,0.510,0.353,0.523,0.639,0.443,-60,0.106
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_WuuE10M.wav,30-300,58.233,0.440,0.460,0.422,0.495,0.518,0.475,40,0.055
ASAP,RDB_SPPK,Chopin_Etudes_op_25_12_LuA04M.wav,30-300,145.871,0.492,0.764,0.363,0.553,0.860,0.408,-50,0.061
ASAP,RDB_SPPK,Schumann_Toccata_DupreeF13M.wav,30-300,117.164,0.316,0.408,0.258,0.375,0.483,0.306,-60,0.059
ASAP,RDB_SPPK,Bach_Fugue_bwv_885_SINKEV06.wav,30-300,104.631,0.166,0.127,0.241,0.664,0.506,0.964,"-420, -430, -440, -450, -460, -470, -480, -490, -500, -510",0.498
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_26-2_LEE_K05M.wav,30-300,22.233,0.302,0.187,0.786,0.352,0.218,0.917,-60,0.050
ASAP,RDB_SPPK,Bach_Prelude_bwv_860_TuanS01M.wav,30-300,184.645,0.823,0.864,0.786,0.881,0.924,0.841,-60,0.058
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_Herbert02.wav,30-300,83.510,0.005,0.004,0.007,0.738,0.588,0.989,"-850, -860, -870, -880, -890, -900, -910, -920",0.732
ASAP,RDB_SPPK,Schumann_Kreisleriana_1_Yarden09M.wav,30-300,89.292,0.369,0.375,0.363,0.466,0.474,0.458,"-300, -310, 320",0.097
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_894-2_no_repeat_SINKEV12M.wav,30-300,75.074,0.534,0.466,0.627,0.620,0.540,0.727,-60,0.085
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_Khmara05M.wav,30-300,137.354,0.605,0.710,0.526,0.679,0.798,0.591,-60,0.074
ASAP,RDB_SPPK,Bach_Fugue_bwv_874_BianF01.wav,30-300,35.568,0.059,0.038,0.141,0.382,0.242,0.909,"-1000, -940, -950, -960, -970, -980, -990",0.323
ASAP,RDB_SPPK,Bach_Fugue_bwv_883_Khmara04.wav,30-300,65.029,0.000,0.000,0.000,0.663,0.501,0.982,"-620, -630, -640, -650, -660, -670, -680, -690, -700",0.663
