Dataset,Wavpath,IBI_threshold,dur_before,dur_after,dur_middle,dur_audio,unannotated_ratio,min_max_temporange,mean_tempo,min_tempo,max_tempo,count_slower,count_faster,num_ibis,dur_slower,dur_faster
ASAP,Beethoven_Piano_Sonatas_11-1_MaximovI02M.wav,6,0.97,1009.57,0.00,1321.97,0.76,"(10, 300)",153.88,80.91,184.32,0,0,793,0,0.00
ASAP,Beethoven_Piano_Sonatas_9-1_Tysman05M.wav,6,1.00,170.09,0.00,434.07,0.39,"(10, 300)",149.82,76.80,249.08,0,0,645,0,0.00
ASAP,Liszt_Transcendental_Etudes_11_Huang18M.wav,6,0.00,17.06,0.00,608.48,0.03,"(10, 300)",77.81,10.16,189.63,0,0,618,0,0.00
ASAP,Rachmaninoff_Preludes_op_23_4_WuuE07M.wav,6,0.46,13.52,0.00,265.49,0.05,"(10, 300)",58.25,21.08,84.46,0,0,228,0,0.00
ASAP,Bach_Fugue_bwv_857_ToA01M.wav,6,0.50,12.58,0.00,223.12,0.06,"(10, 300)",65.65,17.68,72.33,0,0,227,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_1_Duepree08M.wav,6,1.08,12.20,0.00,535.79,0.02,"(10, 300)",97.88,16.52,228.68,0,0,812,0,0.00
ASAP,Chopin_Berceuse_op_57_Tario07M.wav,6,0.96,12.09,7.22,262.34,0.08,"(10, 300)",35.75,8.31,53.64,1,0,138,7.22265,0.00
ASAP,Liszt_Transcendental_Etudes_3_Huang14M.wav,6,0.83,10.70,6.84,261.59,0.07,"(10, 300)",49.65,8.77,71.39,1,0,193,6.83854,0.00
ASAP,Rachmaninoff_Preludes_op_23_6_Nikiforov14M.wav,6,1.25,10.54,0.00,171.42,0.07,"(10, 300)",68.25,24.53,102.40,0,0,168,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_LeeSH08M.wav,6,1.04,10.23,0.00,371.13,0.03,"(10, 300)",58.11,21.56,84.64,0,0,340,0,0.00
ASAP,Schumann_Arabeske_ParkS15M.wav,6,1.13,10.06,6.49,437.45,0.04,"(10, 300)",84.56,9.25,267.90,1,0,495,6.48959,0.00
ASAP,Schubert_Impromptu_op.90_D.899_2_FaB06M.wav,6,1.00,9.99,0.00,285.00,0.04,"(10, 300)",191.59,63.65,402.09,0,5,847,0,0.88
ASAP,Beethoven_Piano_Sonatas_23-1_Duepree05M.wav,6,1.04,9.61,0.00,595.59,0.02,"(10, 300)",115.51,17.41,223.70,0,0,1045,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_ZhangW07M.wav,6,1.03,9.11,0.00,330.66,0.03,"(10, 300)",66.52,20.62,104.92,0,0,340,0,0.00
ASAP,Chopin_Etudes_op_25_1_LeeN03M.wav,6,0.00,9.03,0.00,140.59,0.06,"(10, 300)",92.50,22.03,120.38,0,0,193,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_WuuE10M.wav,6,1.00,9.00,0.00,360.31,0.03,"(10, 300)",60.28,19.60,98.63,0,0,340,0,0.00
ASAP,Liszt_Concert_Etude_S145_1_Woo06M.wav,6,1.33,8.88,0.00,236.56,0.04,"(10, 300)",114.39,15.08,404.23,0,1,383,0,0.15
ASAP,Schubert_Impromptu_op.90_D.899_3_LEE_K04M.wav,6,1.03,8.87,0.00,343.17,0.03,"(10, 300)",62.99,19.22,88.21,0,0,340,0,0.00
ASAP,Haydn_Keyboard_Sonatas_48-1_GarritsonL02M.wav,6,1.07,8.78,0.00,489.10,0.02,"(10, 300)",61.96,30.26,121.43,0,0,480,0,0.00
ASAP,Chopin_Berceuse_op_57_ZhangE09M.wav,6,1.02,8.65,0.00,268.25,0.04,"(10, 300)",32.87,17.15,45.43,0,0,138,0,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_no_repeat_GuoE02M.wav,6,1.01,8.54,0.00,378.86,0.03,"(10, 300)",219.82,20.12,1097.29,0,38,904,0,6.62
ASAP,Liszt_Transcendental_Etudes_10_Huang17M.wav,6,1.37,8.45,0.00,307.06,0.03,"(10, 300)",83.40,13.91,174.55,0,0,365,0,0.00
ASAP,Bach_Fugue_bwv_857_Lisiecki04M.wav,6,0.50,8.41,0.00,224.80,0.04,"(10, 300)",63.78,20.36,71.61,0,0,227,0,0.00
ASAP,Schubert_Impromptu_op142_3_RichardsonC06M.wav,6,1.03,8.34,6.98,686.60,0.02,"(10, 300)",41.81,8.59,59.63,1,0,430,6.98386,0.00
ASAP,Liszt_Transcendental_Etudes_4_Huang15M.wav,6,0.94,8.19,7.04,495.97,0.03,"(10, 300)",104.06,8.52,252.49,1,0,681,7.04492,0.00
ASAP,Haydn_Keyboard_Sonatas_48-1_PrjevalskayaM02M.wav,6,1.08,8.18,0.00,415.67,0.02,"(10, 300)",73.52,28.18,118.15,0,0,480,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_1_Teo06M.wav,6,1.04,7.90,0.00,568.93,0.02,"(10, 300)",90.42,22.35,258.88,0,0,812,0,0.00
ASAP,Liszt_Ballade_2_GarritsonL04M.wav,6,1.00,7.88,0.00,858.47,0.01,"(10, 300)",106.12,13.40,246.42,0,0,1130,0,0.00
ASAP,Rachmaninoff_Preludes_op_23_4_ChenGuang12M.wav,6,0.00,7.85,0.00,282.33,0.03,"(10, 300)",55.79,19.39,108.81,0,0,228,0,0.00
ASAP,Chopin_Etudes_op_25_1_TuanS04M.wav,6,0.00,7.81,0.00,146.33,0.05,"(10, 300)",89.07,17.37,122.95,0,0,193,0,0.00
ASAP,Chopin_Berceuse_op_57_MiyashitaM06M.wav,6,0.97,7.75,0.00,275.70,0.03,"(10, 300)",31.95,14.30,40.52,0,0,138,0,0.00
ASAP,Bach_Fugue_bwv_883_GuoE01M.wav,6,0.97,7.67,0.00,270.59,0.03,"(10, 300)",63.42,32.49,71.96,0,0,276,0,0.00
ASAP,Chopin_Etudes_op_25_1_Wong03M.wav,6,0.23,7.60,0.00,140.69,0.06,"(10, 300)",91.99,28.44,115.63,0,0,193,0,0.00
ASAP,Bach_Prelude_bwv_870_ChenW01M.wav,6,0.99,7.50,0.00,156.39,0.05,"(10, 300)",54.32,16.42,57.83,0,0,132,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_Hou06M.wav,6,0.98,7.48,0.00,320.96,0.03,"(10, 300)",67.46,20.63,98.36,0,0,340,0,0.00
ASAP,Liszt_Ballade_2_Jin07M.wav,6,1.00,7.47,0.00,749.43,0.01,"(10, 300)",112.24,20.58,317.80,0,2,1130,0,0.38
ASAP,Schubert_Impromptu_op142_3_WangH06M.wav,6,1.03,7.45,12.43,683.29,0.03,"(10, 300)",41.19,9.51,54.67,2,0,430,12.42812,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_no_repeat_WangH03M.wav,6,0.64,7.43,0.00,383.59,0.02,"(10, 300)",219.28,22.57,8862.63,0,18,904,0,3.13
ASAP,Liszt_Ballade_2_Min06M.wav,6,1.68,7.42,0.00,748.21,0.01,"(10, 300)",118.93,20.10,365.70,0,1,1130,0,0.16
ASAP,Schubert_Impromptu_op.90_D.899_3_Ko08M.wav,6,1.11,7.41,0.00,376.16,0.02,"(10, 300)",57.36,20.13,81.63,0,0,340,0,0.00
ASAP,Chopin_Etudes_op_10_10_WangH02M.wav,6,1.24,7.32,0.00,128.42,0.07,"(10, 300)",159.10,43.60,203.53,0,0,304,0,0.00
ASAP,Schumann_Arabeske_Min09M.wav,6,1.29,7.30,6.39,388.14,0.04,"(10, 300)",99.06,9.39,205.25,1,0,495,6.38932,0.00
ASAP,Beethoven_Piano_Sonatas_23-1_Yi02M.wav,6,1.05,7.27,0.00,569.35,0.01,"(10, 300)",147.42,19.28,30612.24,0,1,1045,0,0.00
ASAP,Chopin_Etudes_op_25_1_TongB02M.wav,6,0.29,7.08,0.00,150.37,0.05,"(10, 300)",84.83,35.73,107.66,0,0,193,0,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_no_repeat_TuanS02M.wav,6,0.96,7.05,0.00,385.56,0.02,"(10, 300)",209.65,20.94,6066.73,0,16,904,0,2.68
ASAP,Schubert_Impromptu_op.90_D.899_1_Jin05M.wav,6,1.03,7.02,0.00,520.67,0.02,"(10, 300)",100.78,20.04,1439.88,0,1,812,0,0.04
ASAP,Bach_Fugue_bwv_857_WangA01M.wav,6,0.50,6.95,0.00,221.57,0.03,"(10, 300)",64.32,19.90,72.51,0,0,227,0,0.00
ASAP,Bach_Fugue_bwv_846_Shi05M.wav,6,1.10,6.72,0.00,147.60,0.05,"(10, 300)",45.91,20.98,52.54,0,0,105,0,0.00
ASAP,Beethoven_Piano_Sonatas_21-2_YOO05M.wav,6,1.00,6.70,0.00,245.49,0.03,"(10, 300)",14.14,10.95,17.88,0,0,55,0,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_KaszoS09M.wav,6,0.63,6.70,0.00,518.65,0.01,"(10, 300)",208.25,20.64,3838.77,0,8,1272,0,1.08
ASAP,Bach_Prelude_bwv_854_WangA01M.wav,6,0.98,6.68,0.00,84.62,0.09,"(10, 300)",72.41,33.66,84.89,0,0,92,0,0.00
ASAP,Liszt_Transcendental_Etudes_1_Huang13M.wav,6,1.00,6.62,0.00,55.25,0.14,"(10, 300)",134.06,35.02,215.32,0,0,91,0,0.00
ASAP,Bach_Fugue_bwv_863_TongB01M.wav,6,0.50,6.58,0.00,173.60,0.04,"(10, 300)",57.81,24.40,63.79,0,0,159,0,0.00
ASAP,Debussy_Images_Book_1_1_Reflets_dans_lEau_Kleisen11M.wav,6,0.92,6.56,0.00,287.78,0.03,"(10, 300)",91.10,18.25,284.44,0,0,372,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_ZhaoK10M.wav,6,1.08,6.56,0.00,303.31,0.03,"(10, 300)",71.15,13.51,130.32,0,0,340,0,0.00
ASAP,Bach_Fugue_bwv_889_YangY02M.wav,6,0.50,6.56,0.00,109.18,0.06,"(10, 300)",64.48,31.92,70.73,0,0,109,0,0.00
ASAP,Bach_Fugue_bwv_858_VuV01M.wav,6,1.04,6.53,0.00,145.44,0.05,"(10, 300)",59.02,30.52,63.27,0,0,135,0,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_no_repeat_KabuliL02M.wav,6,0.64,6.50,0.00,356.72,0.02,"(10, 300)",218.00,22.30,448.23,0,22,904,0,3.93
ASAP,Beethoven_Piano_Sonatas_23-1_Teo02M.wav,6,1.00,6.48,0.00,568.67,0.01,"(10, 300)",121.99,16.85,2363.14,0,3,1045,0,0.21
ASAP,Bach_Prelude_bwv_867_Sham01M.wav,6,0.96,6.47,0.00,178.36,0.04,"(10, 300)",33.76,14.73,36.79,0,0,94,0,0.00
ASAP,Chopin_Etudes_op_25_10_Ozel05M.wav,6,0.99,6.43,0.00,251.22,0.03,"(10, 300)",106.14,25.21,179.30,0,0,397,0,0.00
ASAP,Bach_Fugue_bwv_862_Song04M.wav,6,0.50,6.40,0.00,155.71,0.04,"(10, 300)",55.73,24.14,64.09,0,0,137,0,0.00
ASAP,Chopin_Berceuse_op_57_Teo11M.wav,6,1.03,6.39,0.00,297.11,0.02,"(10, 300)",29.34,12.03,48.89,0,0,138,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_Woo10M.wav,6,0.95,6.38,0.00,301.96,0.02,"(10, 300)",72.06,16.90,124.54,0,0,340,0,0.00
ASAP,Chopin_Ballades_1_BuiJL04M.wav,6,1.01,6.38,0.00,559.78,0.01,"(10, 300)",123.73,14.31,420.43,0,67,652,0,12.48
ASAP,Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM12M.wav,6,1.97,6.35,0.00,297.51,0.03,"(10, 300)",54.71,15.84,163.02,0,0,239,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_Kociuban10M.wav,6,1.02,6.27,0.00,366.19,0.02,"(10, 300)",58.04,21.30,72.97,0,0,340,0,0.00
ASAP,Bach_Fugue_bwv_891_Duepree06M.wav,6,0.50,6.26,0.00,218.50,0.03,"(10, 300)",86.06,19.87,93.15,0,0,300,0,0.00
ASAP,Bach_Fugue_bwv_887_LiYZ01M.wav,6,0.50,6.23,0.00,357.57,0.02,"(10, 300)",48.78,19.04,52.82,0,0,284,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_JeonH06M.wav,6,1.06,6.22,0.00,368.90,0.02,"(10, 300)",57.68,22.12,73.75,0,0,340,0,0.00
ASAP,Bach_Prelude_bwv_857_Lisiecki04M.wav,6,1.09,6.18,0.00,110.06,0.07,"(10, 300)",49.84,23.22,58.83,0,0,84,0,0.00
ASAP,Beethoven_Piano_Sonatas_17-1_no_repeat_Richardson02M.wav,6,1.00,6.14,0.00,341.54,0.02,"(10, 300)",257.85,23.53,11516.31,0,179,904,0,32.02
ASAP,Liszt_Annees_de_pelerinage_2_1_Gondoliera_LeungM08M.wav,6,1.34,6.06,0.00,278.22,0.03,"(10, 300)",55.76,16.82,100.28,0,0,239,0,0.00
ASAP,Bach_Fugue_bwv_867_Sham01M.wav,6,0.50,6.04,0.00,157.87,0.04,"(10, 300)",59.05,30.78,68.64,0,0,148,0,0.00
ASAP,Bach_Fugue_bwv_863_LeeN01M.wav,6,0.50,6.01,0.00,169.29,0.04,"(10, 300)",58.76,35.15,63.05,0,0,159,0,0.00
ASAP,Debussy_Pour_le_Piano_1_MunA12M.wav,6,0.97,6.01,0.00,225.49,0.03,"(10, 300)",149.03,21.97,199.65,0,0,486,0,0.00
ASAP,Beethoven_Piano_Sonatas_31-2_ADIG05M.wav,6,0.67,5.99,0.00,143.44,0.05,"(10, 300)",215.25,17.79,296.30,0,0,459,0,0.00
ASAP,Bach_Prelude_bwv_854_LuA01M.wav,6,1.02,5.86,0.00,90.26,0.08,"(10, 300)",67.35,24.78,83.84,0,0,92,0,0.00
ASAP,Chopin_Etudes_op_10_1_YeF03M.wav,6,1.01,5.81,0.00,115.59,0.06,"(10, 300)",177.72,65.92,224.79,0,0,312,0,0.00
ASAP,Chopin_Sonata_3_4th_KimSJ10M.wav,6,0.52,5.73,0.00,343.05,0.02,"(10, 300)",105.22,17.37,148.88,0,0,570,0,0.00
ASAP,Bach_Prelude_bwv_883_GuoE01M.wav,6,1.01,5.61,0.00,174.56,0.04,"(10, 300)",45.87,19.15,54.03,0,0,126,0,0.00
ASAP,Glinka_The_Lark_Kleisen07M.wav,6,0.95,5.60,0.00,295.37,0.02,"(10, 300)",77.57,19.00,1298.14,0,1,310,0,0.05
ASAP,Bach_Prelude_bwv_885_Huang04M.wav,6,1.05,5.57,0.00,158.57,0.04,"(10, 300)",33.10,17.05,36.64,0,0,83,0,0.00
ASAP,Bach_Fugue_bwv_874_WongWY01M.wav,6,2.09,5.53,0.00,199.93,0.04,"(10, 300)",30.86,14.17,32.91,0,0,98,0,0.00
ASAP,Chopin_Ballades_1_Mo07M.wav,6,1.01,5.52,0.00,591.02,0.01,"(10, 300)",115.68,14.45,443.07,0,26,652,0,4.84
ASAP,Schubert_Impromptu_op142_1_Kleisen10M.wav,6,0.98,5.51,0.00,585.94,0.01,"(10, 300)",105.79,47.31,158.35,0,0,992,0,0.00
ASAP,Chopin_Etudes_op_10_1_KaiRuiR03M.wav,6,0.99,5.49,0.00,125.27,0.05,"(10, 300)",160.28,69.86,190.73,0,0,312,0,0.00
ASAP,Bach_Fugue_bwv_874_Kurz01M.wav,6,2.38,5.47,0.00,172.51,0.05,"(10, 300)",35.79,25.44,37.57,0,0,98,0,0.00
ASAP,Chopin_Ballades_1_Zhou06M.wav,6,0.99,5.44,0.00,540.20,0.01,"(10, 300)",125.62,16.03,2710.03,0,33,652,0,5.86
ASAP,Liszt_Concert_Etude_S145_1_Kleisen06M.wav,6,1.41,5.41,0.00,220.85,0.03,"(10, 300)",116.90,17.23,228.12,0,0,383,0,0.00
ASAP,Bach_Fugue_bwv_854_WangA01M.wav,6,0.81,5.39,0.00,65.74,0.09,"(10, 300)",111.37,60.24,123.74,0,0,110,0,0.00
ASAP,Liszt_Transcendental_Etudes_5_Huang16M.wav,6,1.32,5.32,0.00,230.93,0.03,"(10, 300)",74.23,31.43,295.39,0,0,263,0,0.00
ASAP,Bach_Fugue_bwv_863_Shychko01M.wav,6,0.50,5.32,0.00,194.11,0.03,"(10, 300)",50.96,26.26,55.70,0,0,159,0,0.00
ASAP,Chopin_Etudes_op_25_10_WangA03M.wav,6,1.00,5.31,0.00,238.43,0.03,"(10, 300)",115.06,21.25,267.92,0,0,397,0,0.00
ASAP,Chopin_Ballades_1_Sladek04M.wav,6,0.99,5.28,0.00,503.99,0.01,"(10, 300)",136.07,20.05,940.29,0,97,652,0,17.14
ASAP,Chopin_Etudes_op_25_12_BorickC04M.wav,6,0.91,5.25,0.00,157.40,0.04,"(10, 300)",143.63,50.15,219.43,0,0,330,0,0.00
ASAP,Schubert_Wanderer_fantasie_SunY10M.wav,6,1.03,5.22,6.71,1207.05,0.01,"(10, 300)",180.41,8.94,471.18,1,64,2406,6.71042,11.98
ASAP,Chopin_Ballades_3_LinPeng06M.wav,6,1.00,5.22,0.00,425.30,0.01,"(10, 300)",73.14,28.80,152.58,0,0,480,0,0.00
ASAP,Glinka_The_Lark_Denisova10M.wav,6,0.91,5.22,0.00,330.03,0.02,"(10, 300)",64.21,14.71,139.02,0,0,310,0,0.00
ASAP,Bach_Fugue_bwv_876_SirajA01M.wav,6,0.50,5.18,0.00,114.71,0.05,"(10, 300)",77.09,26.65,88.41,0,0,138,0,0.00
ASAP,Chopin_Etudes_op_10_8_Rizikov03M.wav,6,0.99,5.17,0.00,152.42,0.04,"(10, 300)",157.91,61.28,238.75,0,0,377,0,0.00
ASAP,Schubert_Impromptu_op142_3_YoungS06M.wav,6,1.02,5.15,6.97,686.88,0.02,"(10, 300)",42.18,8.61,61.60,1,0,430,6.96875,0.00
ASAP,Bach_Prelude_bwv_873_Lisiecki13M.wav,6,1.05,5.13,0.00,257.23,0.02,"(10, 300)",44.05,20.73,52.20,0,0,183,0,0.00
ASAP,Bach_Fugue_bwv_870_ChenW01M.wav,6,0.75,5.11,0.00,98.33,0.06,"(10, 300)",106.86,37.97,118.76,0,0,163,0,0.00
ASAP,Chopin_Ballades_1_JIA06M.wav,6,0.99,5.08,0.00,552.66,0.01,"(10, 300)",119.76,17.51,411.44,0,23,652,0,4.29
ASAP,Chopin_Barcarolle_Park10M.wav,6,0.99,5.06,0.00,541.00,0.01,"(10, 300)",55.79,13.57,103.20,0,0,462,0,0.00
ASAP,Chopin_Scherzos_20_ZhangYunling04M.wav,6,1.04,5.05,0.00,528.54,0.01,"(10, 300)",295.20,27.03,869.44,0,1057,1872,0,170.11
ASAP,Bach_Fugue_bwv_885_Huang04M.wav,6,0.50,5.02,0.00,190.90,0.03,"(10, 300)",81.14,27.90,89.04,0,0,248,0,0.00
ASAP,Bach_Prelude_bwv_854_Richardson01M.wav,6,1.01,5.01,0.00,92.06,0.07,"(10, 300)",65.41,21.33,73.91,0,0,92,0,0.00
ASAP,Bach_Fugue_bwv_867_HuNY01M.wav,6,0.50,5.01,0.00,141.04,0.04,"(10, 300)",66.22,34.18,74.48,0,0,148,0,0.00
ASAP,Chopin_Berceuse_op_57_LeungM07M.wav,6,0.29,4.98,0.00,259.16,0.02,"(10, 300)",33.49,15.64,42.20,0,0,138,0,0.00
ASAP,Liszt_Concert_Etude_S145_2_Tario06M.wav,6,1.62,4.95,0.00,173.09,0.04,"(10, 300)",145.33,21.02,365.72,0,1,376,0,0.16
ASAP,Chopin_Scherzos_39_Arciglione13M.wav,6,0.17,4.94,0.00,434.86,0.01,"(10, 300)",314.91,42.31,869.44,0,1110,1944,0,174.78
ASAP,Bach_Fugue_bwv_865_ZhangE01M.wav,6,0.82,4.91,0.00,247.51,0.02,"(10, 300)",86.46,35.21,100.09,0,0,345,0,0.00
ASAP,Chopin_Scherzos_31_ChenW04M.wav,6,0.95,4.90,0.00,623.31,0.01,"(10, 300)",284.00,23.74,3717.47,0,945,2337,0,151.53
ASAP,Beethoven_Piano_Sonatas_32-1_DupreeF03M.wav,6,1.21,4.87,0.00,552.90,0.01,"(10, 300)",111.34,22.95,157.27,0,0,832,0,0.00
ASAP,Beethoven_Piano_Sonatas_12-1_Kleisen05M.wav,6,1.78,4.86,0.00,406.63,0.02,"(10, 300)",101.96,14.92,133.18,0,0,651,0,0.00
ASAP,Bach_Fugue_bwv_860_TuanS01M.wav,6,0.50,4.86,0.00,172.51,0.03,"(10, 300)",62.15,21.38,70.28,0,0,171,0,0.00
ASAP,Beethoven_Piano_Sonatas_3-2_MiyashitaM04M.wav,6,0.53,4.85,0.00,433.33,0.01,"(10, 300)",23.23,13.90,27.08,0,0,163,0,0.00
ASAP,Chopin_Ballades_1_KimSuyeon04M.wav,6,1.03,4.84,0.00,528.48,0.01,"(10, 300)",124.73,20.87,384.00,0,50,652,0,9.20
ASAP,Chopin_Etudes_op_10_1_SunY03M.wav,6,0.98,4.83,0.00,116.74,0.05,"(10, 300)",172.14,89.86,207.94,0,0,312,0,0.00
ASAP,Bach_Fugue_bwv_874_BianF01.wav,6,2.76,4.82,0.00,172.90,0.04,"(10, 300)",35.87,17.92,39.27,0,0,98,0,0.00
ASAP,Chopin_Barcarolle_Rozanski07M.wav,6,1.02,4.82,0.00,557.28,0.01,"(10, 300)",55.61,14.07,98.25,0,0,462,0,0.00
ASAP,Bach_Fugue_bwv_857_YuP01M.wav,6,0.50,4.75,0.00,217.13,0.02,"(10, 300)",65.05,19.55,74.34,0,0,227,0,0.00
ASAP,Bach_Prelude_bwv_883_LuM01M.wav,6,1.04,4.73,0.00,164.55,0.04,"(10, 300)",48.97,14.58,57.39,0,0,126,0,0.00
ASAP,Chopin_Etudes_op_10_1_LiYZ02M.wav,6,1.03,4.71,0.00,116.23,0.05,"(10, 300)",171.24,87.27,209.45,0,0,312,0,0.00
ASAP,Schubert_Impromptu_op.90_D.899_3_Mizumoto07M.wav,6,1.05,4.68,0.00,308.77,0.02,"(10, 300)",70.67,12.97,111.17,0,0,340,0,0.00
ASAP,Chopin_Etudes_op_10_8_Lou03M.wav,6,0.77,4.68,0.00,147.69,0.04,"(10, 300)",164.29,36.27,229.82,0,0,377,0,0.00
ASAP,Bach_Fugue_bwv_875_Ahfat01M.wav,6,0.50,4.67,0.00,130.66,0.04,"(10, 300)",52.03,13.05,58.48,0,0,106,0,0.00
ASAP,Bach_Prelude_bwv_870_MaximovI01M.wav,6,0.96,4.63,0.00,154.62,0.04,"(10, 300)",54.16,17.48,60.35,0,0,132,0,0.00
ASAP,Chopin_Etudes_op_10_1_ChenW03M.wav,6,0.97,4.62,0.00,117.70,0.05,"(10, 300)",170.03,73.94,208.70,0,0,312,0,0.00
ASAP,Chopin_Etudes_op_25_12_HouKimberly03M.wav,6,0.36,4.62,0.00,138.88,0.04,"(10, 300)",156.20,69.29,247.08,0,0,330,0,0.00
ASAP,Bach_Fugue_bwv_854_LuA01M.wav,6,0.81,4.61,0.00,69.48,0.08,"(10, 300)",103.46,61.70,112.83,0,0,110,0,0.00
ASAP,Bach_Fugue_bwv_865_Teo01M.wav,6,0.83,4.58,0.00,244.85,0.02,"(10, 300)",88.21,24.35,102.40,0,0,345,0,0.00
ASAP,Bach_Fugue_bwv_857_Bult-ItoS02M.wav,6,0.50,4.54,0.00,207.20,0.02,"(10, 300)",67.98,29.79,101.38,0,0,227,0,0.00
ASAP,Bach_Fugue_bwv_873_Lisiecki13M.wav,6,0.50,4.52,0.00,122.07,0.04,"(10, 300)",145.28,42.05,175.88,0,0,280,0,0.00
ASAP,Bach_Fugue_bwv_875_CaoJ01M.wav,6,0.50,4.52,0.00,120.56,0.04,"(10, 300)",55.52,23.97,61.08,0,0,106,0,0.00
ASAP,Haydn_Keyboard_Sonatas_46-1_YuP03M.wav,6,1.05,4.48,0.00,353.08,0.02,"(10, 300)",80.03,24.93,124.47,0,0,446,0,0.00
ASAP,Bach_Fugue_bwv_892_KabuliL01M.wav,6,0.50,4.46,0.00,232.24,0.02,"(10, 300)",54.68,28.09,60.73,0,0,206,0,0.00
ASAP,Bach_Prelude_bwv_846_Shi05M.wav,6,1.03,4.45,0.00,139.12,0.04,"(10, 300)",61.92,24.52,70.67,0,0,136,0,0.00
ASAP,Bach_Prelude_bwv_857_Lan01M.wav,6,1.05,4.45,0.00,114.55,0.05,"(10, 300)",46.60,21.65,51.29,0,0,84,0,0.00
ASAP,Liszt_Transcendental_Etudes_5_Wang06M.wav,6,1.45,4.42,0.00,219.34,0.03,"(10, 300)",76.07,28.44,119.07,0,0,263,0,0.00
ASAP,Liszt_Transcendental_Etudes_1_LuoJ05M.wav,6,0.99,4.42,0.00,46.16,0.12,"(10, 300)",149.92,35.00,237.45,0,0,91,0,0.00
ASAP,Chopin_Etudes_op_10_8_KyykhynenT09M.wav,6,1.04,4.41,0.00,153.35,0.04,"(10, 300)",155.42,68.01,222.60,0,0,377,0,0.00
ASAP,Chopin_Ballades_4_LuEric04M.wav,6,0.98,4.40,6.74,658.92,0.02,"(10, 300)",51.45,8.90,117.85,1,0,482,6.73893,0.00
ASAP,Chopin_Ballades_1_Richardson13M.wav,6,1.03,4.39,0.00,512.01,0.01,"(10, 300)",127.63,17.70,344.53,0,63,652,0,12.09
ASAP,Chopin_Etudes_op_25_10_Guo02M.wav,6,1.04,4.37,0.00,244.75,0.02,"(10, 300)",115.84,18.75,360.71,0,2,397,0,0.33
ASAP,Bach_Fugue_bwv_848_MiyashitaM01M.wav,6,0.81,4.37,0.00,139.78,0.04,"(10, 300)",97.17,30.74,107.26,0,0,216,0,0.00
ASAP,Liszt_Transcendental_Etudes_5_Park03M.wav,6,1.28,4.36,0.00,247.13,0.02,"(10, 300)",69.90,16.90,103.78,0,0,263,0,0.00
ASAP,Chopin_Etudes_op_10_8_LuEric03M.wav,6,0.99,4.36,0.00,128.30,0.04,"(10, 300)",187.72,82.29,279.28,0,0,377,0,0.00
ASAP,Bach_Fugue_bwv_860_Nikiforov05M.wav,6,0.50,4.35,0.00,170.65,0.03,"(10, 300)",62.40,25.58,67.57,0,0,171,0,0.00
ASAP,Schumann_Toccata_DupreeF13M.wav,6,1.00,4.34,0.00,294.17,0.02,"(10, 300)",120.57,33.37,178.95,0,0,564,0,0.00
ASAP,Liszt_Transcendental_Etudes_4_GuoE03M.wav,6,1.03,4.34,6.05,486.06,0.02,"(10, 300)",102.55,9.91,354.46,1,1,681,6.05469,0.17
ASAP,Beethoven_Piano_Sonatas_28-1_KyykhynenT06M.wav,6,1.09,4.31,0.00,233.91,0.02,"(10, 300)",55.29,18.90,70.95,0,0,203,0,0.00
ASAP,Chopin_Sonata_3_4th_KimSY23M.wav,6,0.51,4.31,0.00,327.95,0.01,"(10, 300)",109.40,21.18,173.89,0,0,570,0,0.00
ASAP,Chopin_Etudes_op_25_5_Levitsky10M.wav,6,0.75,4.30,0.00,185.48,0.03,"(10, 300)",167.71,38.02,374.65,0,8,428,0,1.41
ASAP,Chopin_Ballades_4_ChenC04M.wav,6,1.01,4.29,6.34,604.95,0.02,"(10, 300)",54.60,9.46,122.55,1,0,482,6.34441,0.00
