Dataset,Model,Songpath,PPT_TempoRange,Track_MeanTempo,F1-ori,P-ori,R-ori,F1-max,P-max,R-max,best_annshifts,F1 improve
ASAP,RDB_SPPK,Bach_Fugue_bwv_860_YoungS01M.wav,30-300,70.479,0.480,0.346,0.785,0.480,0.346,0.785,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Rachmaninoff_Preludes_op_23_4_ChenGuang12M.wav,30-300,49.839,0.562,0.471,0.699,0.566,0.474,0.703,"-40, -50",0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_32-1_HouY04M.wav,30-300,92.099,0.655,0.648,0.661,0.661,0.654,0.667,-60,0.006
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_Zhou01M.wav,30-300,94.190,0.543,0.382,0.935,0.543,0.382,0.935,"-10, -20, -30, -40, -50, -60, 0, 10",0.000
ASAP,RDB_SPPK,Liszt_Hungarian_Rhapsodies_6_LiA09M.wav,30-300,87.424,0.585,0.515,0.677,0.588,0.518,0.680,"-10, -20",0.003
ASAP,RDB_SPPK,Liszt_Transcendental_Etudes_5_Wang06M.wav,30-300,73.920,0.473,0.365,0.670,0.475,0.367,0.674,"-20, 10, 20",0.003
ASAP,RDB_SPPK,Bach_Prelude_bwv_854_LuA01M.wav,30-300,66.209,0.471,0.338,0.774,0.471,0.338,0.774,"-10, -20, -30, -40, 0, 10",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_18-1_ChenGuang03M.wav,30-300,124.541,0.713,0.760,0.671,0.714,0.762,0.672,"-10, -20, -30, -40, -50",0.001
ASAP,RDB_SPPK,Chopin_Ballades_4_MiyashitaM04M.wav,30-300,45.379,0.419,0.310,0.644,0.434,0.321,0.667,"-30, -40",0.015
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_24-1_no_2_repeat_DeTurck06M.wav,30-300,117.645,0.799,0.823,0.776,0.814,0.839,0.791,-60,0.015
ASAP,RDB_SPPK,Bach_Fugue_bwv_870_LeeE01M.wav,30-300,116.579,0.982,0.976,0.988,0.988,0.982,0.994,40,0.006
ASAP,RDB_SPPK,Bach_Fugue_bwv_848_Lou01M.wav,30-300,103.970,0.661,0.501,0.972,0.661,0.501,0.972,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30, 40",0.000
ASAP,RDB_SPPK,Bach_Prelude_bwv_848_Lou01M.wav,30-300,267.207,0.824,0.995,0.703,0.828,1.000,0.706,-60,0.004
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-1_LeeSH02M.wav,30-300,127.329,0.468,0.548,0.409,0.528,0.618,0.461,-70,0.060
ASAP,RDB_SPPK,Bach_Prelude_bwv_857_Lan01M.wav,30-300,46.216,0.434,0.277,1.000,0.434,0.277,1.000,"-10, -20, -30, -40, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_23-1_Teo02M.wav,30-300,111.726,0.626,0.683,0.577,0.627,0.684,0.578,10,0.001
ASAP,RDB_SPPK,Mozart_Piano_Sonatas_12-3_WuuE04M.wav,30-300,96.346,0.522,0.448,0.627,0.526,0.450,0.631,"-20, -30, -40, -50, -60",0.003
ASAP,RDB_SPPK,Mozart_Fantasie_475_Huangci05M.wav,30-300,59.284,0.505,0.426,0.619,0.505,0.426,0.619,0,0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_12-1_Kleisen05M.wav,30-300,97.653,0.871,0.853,0.890,0.871,0.853,0.890,"-10, -20, 0",0.000
ASAP,RDB_SPPK,Haydn_Keyboard_Sonatas_31-1_Song05M.wav,30-300,82.578,0.605,0.541,0.687,0.622,0.556,0.707,-60,0.017
ASAP,RDB_SPPK,Bach_Prelude_bwv_865_Teo01M.wav,30-300,88.318,0.503,0.351,0.890,0.517,0.361,0.915,-50,0.014
ASAP,RDB_SPPK,Chopin_Etudes_op_10_1_ChenW03M.wav,30-300,166.978,0.550,0.976,0.383,0.564,1.000,0.393,"20, 30, 40, 50",0.014
ASAP,RDB_SPPK,Chopin_Scherzos_31_LuoJ12M.wav,30-300,263.520,0.471,0.949,0.314,0.473,0.953,0.315,30,0.002
ASAP,RDB_SPPK,Schubert_Piano_Sonatas_894-2_no_repeat_Lee10M.wav,30-300,79.205,0.659,0.581,0.763,0.659,0.581,0.763,"-10, -20, -40, 0, 10",0.000
ASAP,RDB_SPPK,Bach_Fugue_bwv_863_Shychko01M.wav,30-300,50.666,0.671,0.505,1.000,0.671,0.505,1.000,"-10, -20, -30, -40, -50, -60, 0, 10, 20, 30",0.000
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_16-2_LuoJ04M.wav,30-300,35.792,0.425,0.287,0.819,0.426,0.288,0.822,"-10, -20, -30",0.001
ASAP,RDB_SPPK,Chopin_Etudes_op_25_10_Ozel05M.wav,30-300,97.704,0.626,0.590,0.666,0.628,0.592,0.668,-10,0.002
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Lisiecki07M.wav,30-300,95.973,0.756,0.847,0.682,0.759,0.850,0.685,"10, 20",0.003
ASAP,RDB_SPPK,Liszt_Ballade_2_Min06M.wav,30-300,91.732,0.574,0.599,0.552,0.575,0.600,0.553,"-20, 10",0.001
ASAP,RDB_SPPK,Schubert_Impromptu_op.90_D.899_3_Woo10M.wav,30-300,69.239,0.570,0.840,0.431,0.574,0.846,0.434,10,0.004
ASAP,RDB_SPPK,Chopin_Etudes_op_25_11_Richardson_2013_08M.wav,30-300,118.250,0.885,0.978,0.808,0.888,0.981,0.811,-10,0.003
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_29-4_ChowK05M.wav,30-300,109.132,0.759,0.792,0.728,0.761,0.794,0.731,-20,0.003
ASAP,RDB_SPPK,Liszt_Gran_Etudes_de_Paganini_2_La_campanella_Levitsky06M.wav,30-300,62.902,0.433,0.315,0.694,0.436,0.317,0.697,"-30, -40, -50",0.002
ASAP,RDB_SPPK,Beethoven_Piano_Sonatas_28-1_KyykhynenT06M.wav,30-300,53.304,0.550,0.459,0.686,0.558,0.466,0.696,-40,0.008
